perguntas,respostas
oi,Oi! Tudo bem?
ola,Oi! Tudo bem?
olá,Oi! Tudo bem?
eai,Oi! Tudo bem?
opa,Oi! Tudo bem?
yep,Oi! Tudo bem?
hi,Oi! Tudo bem?
hello,Oi! Tudo bem?
bom dia,Oi! Tudo bem?
boa tarde,Oi! Tudo bem?
boa noite,Oi! Tudo bem?
epa,Oi! Tudo bem?
tudo bem?,Oi! Tudo bem?

oi,Bom dia! Tudo bem?
ola,Bom dia! Tudo bem?
olá,Bom dia! Tudo bem?
eai,Bom dia! Tudo bem?
opa,Bom dia! Tudo bem?
yep,Bom dia! Tudo bem?
hi,Bom dia! Tudo bem?
hello,Bom dia! Tudo bem?
bom dia,Bom dia! Tudo bem?
boa tarde,Bom dia! Tudo bem?
boa noite,Bom dia! Tudo bem?
epa,Bom dia! Tudo bem?
tudo bem?,Bom dia! Tudo bem?

oi,Boa tarde! Tudo bem?
ola,Boa tarde! Tudo bem?
olá,Boa tarde! Tudo bem?
eai,Boa tarde! Tudo bem?
opa,Boa tarde! Tudo bem?
yep,Boa tarde! Tudo bem?
hi,Boa tarde! Tudo bem?
hello,Boa tarde! Tudo bem?
bom dia,Boa tarde! Tudo bem?
boa tarde,Boa tarde! Tudo bem?
boa noite,Boa tarde! Tudo bem?
epa,Boa tarde! Tudo bem?
tudo bem?,Boa tarde! Tudo bem?

oi,Boa noite! Tudo bem?
ola,Boa noite! Tudo bem?
olá,Boa noite! Tudo bem?
eai,Boa noite! Tudo bem?
opa,Boa noite! Tudo bem?
yep,Boa noite! Tudo bem?
hi,Boa noite! Tudo bem?
hello,Boa noite! Tudo bem?
bom dia,Boa noite! Tudo bem?
boa tarde,Boa noite! Tudo bem?
boa noite,Boa noite! Tudo bem?
epa,Boa noite! Tudo bem?
tudo bem?,Boa noite! Tudo bem?

tudo bem,Que bom! Como posso te ajudar?
estou bem,Que bom! Como posso te ajudar?
tudo ótimo,Que bom! Como posso te ajudar?
bem,Que bom! Como posso te ajudar?
estou ótimo,Que bom! Como posso te ajudar?
sim tudo bem,Que bom! Como posso te ajudar?
tudo tranquilo,Que bom! Como posso te ajudar?
estou legal,Que bom! Como posso te ajudar?
vai tudo bem,Que bom! Como posso te ajudar?
correu tudo bem,Que bom! Como posso te ajudar?
melhor agora,Que bom! Como posso te ajudar?

não estou bem,Sinto muito em ouvir isso. Como posso ajudar?
estou com problemas,Sinto muito em ouvir isso. Como posso ajudar?
estou triste,Sinto muito em ouvir isso. Como posso ajudar?
me ajude,Sinto muito em ouvir isso. Como posso ajudar?
estou triste,Sinto muito em ouvir isso. Como posso ajudar?
to mal,Sinto muito em ouvir isso. Como posso ajudar?
estou mal,Sinto muito em ouvir isso. Como posso ajudar?
hoje o dia está ruim,Sinto muito em ouvir isso. Como posso ajudar?
as coisas não estão boas,Sinto muito em ouvir isso. Como posso ajudar?
estou com um problema,Sinto muito em ouvir isso. Como posso ajudar?
não muito bem,Sinto muito em ouvir isso. Como posso ajudar?
hoje o dia está difícil,Sinto muito em ouvir isso. Como posso ajudar?
hoje o dia esta complicado,Sinto muito em ouvir isso. Como posso ajudar?
hoje o dia não tá legal,Sinto muito em ouvir isso. Como posso ajudar?

preciso de ajuda, Claro! Estou aqui para ajudar. O que você precisa?
ajuda, Claro! Estou aqui para ajudar. O que você precisa?
socorro, Claro! Estou aqui para ajudar. O que você precisa?
estou perdido, Claro! Estou aqui para ajudar. O que você precisa?
estou com uma duvida, Claro! Estou aqui para ajudar. O que você precisa?
preciso de um suporte, Claro! Estou aqui para ajudar. O que você precisa?
pode me dar uma mão?, Claro! Estou aqui para ajudar. O que você precisa?
me ajude por favor, Claro! Estou aqui para ajudar. O que você precisa?
preciso de uma ajuda, Claro! Estou aqui para ajudar. O que você precisa?

como voce se chama,Eu sou um chatbot feito em Python!
qual é o seu nome,Eu sou um chatbot feito em Python!
o que você é,Eu sou um chatbot feito em Python!
quem é você,Eu sou um chatbot feito em Python!
me diga seu nome,Eu sou um chatbot feito em Python!

obrigado,De nada! Se precisar de mais alguma coisa é só chamar.
obrigada,De nada! Se precisar de mais alguma coisa é só chamar.
muito obrigado,De nada! Se precisar de mais alguma coisa é só chamar.
muito obrigada,De nada! Se precisar de mais alguma coisa é só chamar.
obg,De nada! Se precisar de mais alguma coisa é só chamar.
vlw,De nada! Se precisar de mais alguma coisa é só chamar.
valeu pela ajuda,De nada! Se precisar de mais alguma coisa é só chamar.
agradecido,De nada! Se precisar de mais alguma coisa é só chamar.
agradecida,De nada! Se precisar de mais alguma coisa é só chamar.
show valeu,De nada! Se precisar de mais alguma coisa é só chamar.

tchau,Até logo! Volte sempre!
adeus,Até logo! Volte sempre!
falou,Até logo! Volte sempre!
flw,Até logo! Volte sempre!
otima dia,Até logo! Volte sempre!
otima tarde,Até logo! Volte sempre!
otima noite,Até logo! Volte sempre!
tenha um otimo dia,Até logo! Volte sempre!
tenha uma otima tarde,Até logo! Volte sempre!
tenha uma otima noite,Até logo! Volte sempre!
até mais,Até logo! Volte sempre!
vlw,Até logo! Volte sempre!
agradecido,Até logo! Volte sempre!
agradecida,Até logo! Volte sempre!
