perguntas,respostas
oi,Oi! Tudo bem?
oie,Oi! Tudo bem?
olá,Oi! Tudo bem?
eai,Oi! Tudo bem?
opa,Oi! Tudo bem?
yep,Oi! Tudo bem?
hi,Oi! Tudo bem?
hello,Oi! Tudo bem?
bom dia,Oi! Tudo bem?
boa tarde,Oi! Tudo bem?
boa noite,Oi! Tudo bem?
epa,Oi! Tudo bem?
Ei,Oi! Tudo bem?
Hey,Oi! Tudo bem?
Tudo bem?,Oi! Tudo bem?
Como vai?,Oi! Tudo bem?
Tudo certo por aí?,Oi! Tudo bem?
Como você está?,Oi! Tudo bem?
E aí beleza?,Oi! Tudo bem?
E aí,Oi! Tudo bem?
Fala,Oi! Tudo bem?
Alô,Oi! Tudo bem?
Teste,Oi! Tudo bem?
,
tudo bem,Que bom! Como posso te ajudar?
estou bem,Que bom! Como posso te ajudar?
tudo ótimo,Que bom! Como posso te ajudar?
bem,Que bom! Como posso te ajudar?
estou ótimo,Que bom! Como posso te ajudar?
sim tudo bem,Que bom! Como posso te ajudar?
tudo tranquilo,Que bom! Como posso te ajudar?
estou legal,Que bom! Como posso te ajudar?
vai tudo bem,Que bom! Como posso te ajudar?
correu tudo bem,Que bom! Como posso te ajudar?
melhor agora,Que bom! Como posso te ajudar?
,
não estou bem,Sinto muito em ouvir isso. Como posso ajudar?
estou com problemas,Sinto muito em ouvir isso. Como posso ajudar?
estou triste,Sinto muito em ouvir isso. Como posso ajudar?
me ajude,Sinto muito em ouvir isso. Como posso ajudar?
estou triste,Sinto muito em ouvir isso. Como posso ajudar?
to mal,Sinto muito em ouvir isso. Como posso ajudar?
estou mal,Sinto muito em ouvir isso. Como posso ajudar?
hoje o dia está ruim,Sinto muito em ouvir isso. Como posso ajudar?
as coisas não estão boas,Sinto muito em ouvir isso. Como posso ajudar?
estou com um problema,Sinto muito em ouvir isso. Como posso ajudar?
não muito bem,Sinto muito em ouvir isso. Como posso ajudar?
hoje o dia está difícil,Sinto muito em ouvir isso. Como posso ajudar?
hoje o dia esta complicado,Sinto muito em ouvir isso. Como posso ajudar?
hoje o dia não tá legal,Sinto muito em ouvir isso. Como posso ajudar?
,
preciso de ajuda,Claro! Estou aqui para ajudar. O que você precisa?
ajuda,Claro! Estou aqui para ajudar. O que você precisa?
socorro,Claro! Estou aqui para ajudar. O que você precisa?
estou perdido,Claro! Estou aqui para ajudar. O que você precisa?
estou com uma duvida,Claro! Estou aqui para ajudar. O que você precisa?
preciso de um suporte,Claro! Estou aqui para ajudar. O que você precisa?
pode me dar uma mão?,Claro! Estou aqui para ajudar. O que você precisa?
me ajude por favor,Claro! Estou aqui para ajudar. O que você precisa?
preciso de uma ajuda,Claro! Estou aqui para ajudar. O que você precisa?
,
como você se chama,Eu sou um chatbot feito em Python!
Qual é o seu nome?,Eu sou um chatbot feito em Python!
o que você é,Eu sou um chatbot feito em Python!
Quem é você?,Eu sou um chatbot feito em Python!
me diga seu nome,Eu sou um chatbot feito em Python!
Com quem estou falando?,Eu sou um chatbot feito em Python!
Qual o nome do atendente?,Eu sou um chatbot feito em Python!
"Por favor, se apresente.",Eu sou um chatbot feito em Python!
Como devo te chamar?,Eu sou um chatbot feito em Python!
Você é um robô?,Eu sou um chatbot feito em Python!
Estou falando com uma pessoa de verdade?,Eu sou um chatbot feito em Python!
Você é humano ou máquina?,Eu sou um chatbot feito em Python!
Você é uma inteligência artificial?,Eu sou um chatbot feito em Python!
,
obrigado,De nada! Se precisar de mais alguma coisa é só chamar.
obrigada,De nada! Se precisar de mais alguma coisa é só chamar.
muito obrigado,De nada! Se precisar de mais alguma coisa é só chamar.
muito obrigada,De nada! Se precisar de mais alguma coisa é só chamar.
